Timestamp,1. What is your year of study? ,2. How many hours do you study per day? ,3. How many hours do you sleep per day? ,4. What is your average attendance percentage (%)? ,5. How many hours per day do you spend on screen (non-study related)? ,6. How many hours per week do you spend on extracurricular activities? ,7. What is your current academic performance (%)? ,"8. On a scale of 1–5, how overwhelmed do you feel during the semester?",9. How often do you procrastinate? ,10. How would you rate your time management skills? ,  11. Do you follow a study schedule?  ,12. How many hours do you use your phone before sleep? ,13. Do you think your lifestyle affects your academic performance?  
3/19/2026 13:34:04,3rd Year,9,7,85,3,20,60%,3,Rarely,Average,Yes,1,Extremely
3/19/2026 13:34:57,3rd Year,3,6,87,2,3,6.24,5 (Extremely overwhelmed),Often,Average,No,0,Moderately
3/19/2026 13:36:34,3rd Year,2,8,45,8,3,5.6,3,Sometimes,Average,No,2,Moderately
3/19/2026 13:38:49,3rd Year,6,7,90,4,6,50,4,Sometimes,Average,No,2,Moderately
3/19/2026 13:40:21,3rd Year,2,5,85,2,3,6,3,Sometimes,Average,Yes,1,Moderately
3/19/2026 13:43:03,3rd Year,3,8,75,2,10,5.55,1 (Not overwhelmed),Sometimes,Average,No,1,Slightly
3/19/2026 14:05:38,3rd Year,3,6,98,12,0,45,4,Always,Average,Yes,3,Slightly
3/19/2026 14:06:04,Postgraduate,7,7,30,4,6,89,3,Sometimes,Good,Yes,1,Not at all
3/19/2026 14:12:16,1st Year,3,6,89,2,1,Excellent ,4,Never,Good,Yes,1,Not at all
3/19/2026 14:24:27,3rd Year,2,6,79,5,20,6,4,Sometimes,Average,No,5,Not at all
3/19/2026 14:55:43,3rd Year,8,8,85,4,3,8,4,Sometimes,Average,No,1,Moderately
3/19/2026 15:26:57,3rd Year,3,8,50,4,2,5.5,3,Sometimes,Average,Yes,2,Significantly
3/19/2026 16:31:25,2nd Year,2,7,71,6,5,81,3,Sometimes,Average,No,1,Slightly
3/19/2026 16:39:34,1st Year,6,5,50,2,1,60%,5 (Extremely overwhelmed),Sometimes,Very Poor,Yes,3,Not at all
3/19/2026 19:09:08,4th Year,3,6,70,12,1,60,5 (Extremely overwhelmed),Always,Average,No,3,Significantly
3/19/2026 20:15:13,3rd Year,10,6,90,6,4,87,4,Often,Poor,No,5,Significantly
3/20/2026 8:18:01,2nd Year,2,7,84,3,4,81,3,Sometimes,Excellent,Yes,3,Significantly
3/20/2026 8:30:44,3rd Year,3,6,97,12,4,80%,5 (Extremely overwhelmed),Always,Good,sometimes,2,Extremely
3/20/2026 8:30:47,1st Year,5,9,94,5,2,9.58,5 (Extremely overwhelmed),Sometimes,Good,Yes,1,Slightly
3/20/2026 8:32:26,2nd Year,2,6,78,1,4,78,2,Sometimes,Average,Yeah sometimes ,1,Significantly
3/20/2026 8:33:56,4th Year,4,8,65,12,18,80%,5 (Extremely overwhelmed),Always,Average,Yes,3,Extremely
3/20/2026 8:36:48,4th Year,2,8,78,12,20,90,5 (Extremely overwhelmed),Sometimes,Good,Sometimes,1,Significantly
3/20/2026 8:47:18,3rd Year,2,5,55,7,0,9.1,5 (Extremely overwhelmed),Never,Very Poor,No,4,Extremely
3/20/2026 8:48:57,3rd Year,2,8,80,1,10,75,4,Often,Average,No,1,Slightly
3/20/2026 8:57:46,2nd Year,5,7,63,2,1,Good ,3,Often,Average,Yes,1,Extremely
3/20/2026 8:59:41,2nd Year,4,9,89,5,6,8.2,2,Sometimes,Good,Yes,3,Moderately
3/20/2026 8:59:48,3rd Year,7,7,60,2,16,60,5 (Extremely overwhelmed),Often,Good,Yes,1,Moderately
3/20/2026 9:07:39,3rd Year,1,10,91,1,15,8.9,2,Rarely,Good,Yes,1,Slightly
3/20/2026 9:15:54,1st Year,10,7,75,4,3,Don't know ,1 (Not overwhelmed),Sometimes,Average,Yes,1,Slightly
3/20/2026 9:16:07,1st Year,3,7,91,1,6,93,1 (Not overwhelmed),Sometimes,Excellent,Yes,1,Extremely
